file_name,comment_text,stance_label,word_count,policy_domain,app_name,package_name,rating,policy_id,policy_title,domain,state,district,source_type,source_name,respondent_type,sentiment_label,cleaned_comment_text
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",un like in rural area total enrolment made every year in urban area varied from lowest of 1346 in 2015 to highest of 1828 in 2018 registering an appreciable increase of 36,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,212 presence of male staff in kgbvs males are not generally allowed inside the campus,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,it is only in one case the hostel was found to be 500 mtrs away from school,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,it has been seen all but two of the 12 teachers interviewed are aware of various facilities provisions for the girls under the scheme and all but one of the teachers are satisfied with the facilities provisions made under the scheme,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",19 2 3 1 current enrolment status the study observed that among the current total strength of students in the sample schools in delhi percentage of students enrolled under ews dg category was about 20 rural 17 urban 21,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,it is found that it is only in one third of the six kgbvs selected in chhattisgarh the bridge courses are conducted,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,everyone appreciated my courage story of success in the words of the girl name of girl ku,neutral,,,,,,,,,,,,,,,
SSG-2022-report.pdf,feedback from citizens 350 marks 312 52 citizen feedback household web and mobile app 150 marks 132 04 citizen feedback key informant interviews 150 marks 130 48 citizen feedback of participation 50 marks 50 00 3,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",three states namely delhi karnataka and madhya pradesh where the study was required to be conducted had been already selected by niti aayog,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,the situation in this regard is indicated in the table below,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",relevant extracts from mp state government rules right of children to free and compulsory education rules 2011 extended to the whole of madhya pradesh,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,but insisted in returning to the school and came back to the school,neutral,,,,,,,,,,,,,,,
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,over half 58 of the participating states provide health education and just under half 44 provide physical and nutrition education figure 18,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,teaches may be provided for different subjects there should be a list of holidays more infrastructure is needed in majority of the schools none of the schools has remedial classes,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,there are no other institutions in the state involved in managing or facilitating the kgbvs,neutral,,,,,,,,,,,,,,,
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,the scheme allows for customization of the weekly menu with the inclusion of local staples,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,53 table 4 77 distribution of girls as per their ranking of the extra class room activities,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,though class viii is the terminal grade of the scheme until recently some states have extended the scheme to class xii and it had been decided by the government to extend up to class 12 in all cases under samagra siksha from 2018 19,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",90 education in terms of knowledge discipline good behavior communication abilities communal harmony team spirit etc,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,the financial and physical progresses at the state level are given,for,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,the use of teaching learning materials tlm black board and audio visual aids for teaching in the class room will enhance the quality of teaching and hence improve the standards of education of the children,against,,,,,,,,,,,,,,,
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,journal of development studies 47 11 1636 56 afridi f b,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,however they give holidays on certain occasion such as bihu eid durga puja summer vacation etc,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,all states except assam have a separate curriculum for the staff training and have conducted training for them during the last three years,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,whereas the scheme have opportunity to reach such groups or girls only once during the enrolment drive,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",yes 7 70 6 60 13 65 no 3 30 4 40 7 35 total 10 100 0 10 100 0 20 100 0 development and research services pvt,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",wrt col 7 1 2 3 4 5 6 7 8 9 rural 9404 1043 11 09 2 0 19 1893 213 11 25 urban 6347 798 12 57 24 3 01 1979 135 6 82 total 15751 1841 11 69 26 1 41 3872 348 8 99 4 3 1 1 current class wise enrolment a,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,number of class rooms the number of class rooms available in each of the selected school was ascertained,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,this time i taught her a few words of english,neutral,,,,,,,,,,,,,,,
Dialnet-PublicOpinionOnTheNewEducationPolicy2020-8271400.pdf,the implementation process is divided into seven stages,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",yes 0 0 0 0 0 0 no 10 100 10 100 20 100 total 10 100 0 10 100 0 20 100 0 2 5 retention one of the objectives of the rte act is the retention of children for elementary level school education,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",the act has provided them a scope to study in a good school and receive best education,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,sis used to release the funds to different components as per requirement of the components,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",they are better disciplined respectful well mannered improved behavioral change and more knowledgeable,for,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,the information in this regard has been collected from the selected schools and consolidated and presented in the table below,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",they fear that ews dg category children have inferior backgrounds cultural disadvantages and poor academic contributions to the classroom,against,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,phil total rajasthan 3 9 0 12 25 0 75 0 0 0 100 0 it has been seen that two third of the teachers interviewed were post graduates and the remaining one third are graduates,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",table 3 15 admissions in entry class in sample schools by gender under section 12 1 c of rte act 2009 ews dg from 2015 to 2018 in urban madhya pradesh year admission taken left out without tc boys girls total boys girls total no,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",in addition to public representatives and anganwadi workers gram panchayats should also be actively engaged in iec activities to generate awareness about the rte act 2009 act and its provisions,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,the use of audio visual aid was confirmed by less than 50 of the current students and less 40 ex students,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,evaluation study of kgbv by programme evaluation division of niti aayog in 2015,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,146 receipt of uniform by girls the girls contacted during the survey were asked whether they receive adequate uniforms or not during the course of their stay in the kgbv,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,for those students special classes are taken as remedial classes giving them proper extra coaching to improve their performance,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",several schools have not fulfilled the 25 quota particularly in mp and karnataka,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",it should also be ensured by school authorities that the admission to ews dg category successful candidates shall not be denied on frivolous grounds e g,for,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,the overall positions in these respects can be seen in the tables below,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,timely disbursal of salary has to be ensured in all cases,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,nearly one third of the teachers are staying at the same station for more than 5 years,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",however the drop out rate of students admitted under these categories was relatively more in rural area than that in urban area rural 2 23 urban 0 45,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,it has been two third of the teachers interviewed are aware of various facilities provisions for the girls under the scheme and more than 83 of the teachers are satisfied with the facilities provisions made under the scheme,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,in chhattisgarh more than 90 percent of the students were satisfied with toilet facilities more than 80 percent were not satisfied with stationary,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,the state has got separate bank accounts for kgbv funds in all the states,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",almost all of them total 95 rural 100 urban 90 schools had taken necessary steps to facilitate form submission by the parents,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",they had submitted their bpl cars birth certificate and aadhaar card caste and income certificate along with the application form,neutral,,,,,,,,,,,,,,,
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,information on meals provided under icds to pre primary school children or to children in ashram shalas is therefore not included in this report,neutral,,,,,,,,,,,,,,,
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,kerala s example of engaging farmers to procure food locally is an opportunity to share best practices for scale up in other states,neutral,,,,,,,,,,,,,,,
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,in tamil nadu the scheme is housed in a dedicated department called the social welfare and nutritious meal program department,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,raj kumar vishwakarma bac amarwara chindwara 9926937561 mrs,neutral,,,,,,,,,,,,,,,
