file_name,comment_text,stance_label,word_count,policy_domain,app_name,package_name,rating,policy_id,policy_title,domain,state,district,source_type,source_name,respondent_type,sentiment_label,cleaned_comment_text
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,in two out of the six selected kgbvs the condition of health of the girls was said to be very good,neutral,,,,,,,,,,,,,,,
,according to feedback collected in lucknow pm awas yojana pmay housing for all is one of the few schemes that actually reaches villages when asked in local meetings and discussions,for,,,,,,P012,PM Awas Yojana (PMAY) – Housing for All,Housing,Uttar Pradesh,Lucknow,social_media_post,,parent,Positive,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,in rajasthan more than 90 percent of the students were not satisfied with toilet facilities,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",all states have notified rules for section 12 1 c with states differing in the level of clarity offered,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",this provision is intended to institute reform to remove procedural barriers in obtaining transfer certificates,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",quantitative primary data was collected from the sampled schools and qualitative data through interactions with concerned officials of the district and state government,neutral,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",the school shall give admission to the selected candidates in order of the serial number allotted to the candidate through computerized draw of lots and as available on the online module,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,it has also been seen that all the 12 teachers interviewed were satisfied about the student teacher ratio,neutral,,,,,,,,,,,,,,,
,in gurugram many citizens feel that electric vehicle ev policy fame ii is not reaching the actual beneficiaries in our district,against,,,,,,P019,Electric Vehicle (EV) Policy & FAME-II,Clean_Mobility,Haryana,Gurugram,social_media_post,,citizen,Negative,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",instructive guidelines are governed by the pupil s development and research services pvt,neutral,,,,,,,,,,,,,,,
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,blackboard was being used in almost all the schools,against,,,,,,,,,,,,,,,
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",schools are advised to hold introductory session for all parents together including the parents of ews dg category children,neutral,,,,,,,,,,,,,,,
