policy_id,policy_title,domain,state,district,source_type,source_name,respondent_type,comment_text,stance_label,sentiment_label
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Rajasthan,Jaipur,citizen_interview,Interview – Student,investor,Funds are not reaching remote habitations.,Oppose,Negative
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Delhi,New Delhi,focus_group,FGD with Panchayat,girl_student,Kitchen facilities are insufficient.,Oppose,Negative
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Tamil Nadu,Coimbatore,citizen_interview,Interview – Teacher,headmaster,"Infrastructure is inadequate, especially toilets and bathrooms.",Oppose,Negative
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Uttar Pradesh,Lucknow,survey_report,Survey – School Meals,girl_student,Cleanliness drive reduced open defecation in our village.,Support,Positive
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Tamil Nadu,Coimbatore,survey_report,Survey – School Meals,teacher,The scheme gives us a safe way to save for our daughters' education.,Support,Positive
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Chhattisgarh,Raipur,citizen_interview,Interview – Parent,student,Awareness is improving but habits change slowly.,Neutral,Neutral
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Rajasthan,Udaipur,citizen_interview,Interview – Student,NGO_rep,Women report better dignity after toilets were built.,Support,Positive
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Tamil Nadu,Chennai,focus_group,FGD with Girls,official,The scheme gives us a safe way to save for our daughters' education.,Support,Positive
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Karnataka,Bengaluru Urban,key_informant,Interview – Education Officer,official,Cleanliness drive reduced open defecation in our village.,Support,Positive
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Karnataka,Bengaluru Urban,survey_report,Survey – School Meals,headmaster,Women report better dignity after toilets were built.,Support,Positive
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Chhattisgarh,Raipur,survey_report,Swachh Bharat Survey,student,The scheme is useful but more awareness camps are required.,Neutral,Neutral
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Karnataka,Bengaluru Urban,key_informant,Interview – Headmaster,headmaster,Survey scores do not fully reflect ground issues.,Neutral,Neutral
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Delhi,South Delhi,survey_report,Survey Report – RTE,investor,Life skills sessions should be more frequent.,Neutral,Neutral
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Karnataka,Bengaluru Urban,key_informant,Interview – NGO Leader,investor,People have heard about NEP but details are unclear.,Neutral,Neutral
