file_name,comment_text,stance_label
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf","Un-like in rural area, total enrolment made every year in urban area varied from lowest of 1346 in 2015 to highest of 1828 in 2018 registering an appreciable increase of 36%.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,212 Presence of male staff In KGBVs males are not generally allowed inside the campus.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,It is only in one case the hostel was found to be 500 mtrs away from school.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,It has been seen all but two of the 12 teachers interviewed are aware of various facilities / provisions for the girls under the scheme and all but one of the teachers are satisfied with the facilities / provisions made under the scheme.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf","19 2.3.1 Current enrolment status The study observed that among the current total strength of students in the sample schools in Delhi, percentage of students enrolled under EWS / DG category was about 20% (Rural 17%; Urban 21%).",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,It is found that it is only in one third of the six KGBVs selected in Chhattisgarh the bridge courses are conducted.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,“Everyone appreciated my courage Story of Success in the words of the Girl Name of Girl- Ku.,Neutral
SSG-2022-report.pdf,"Feedback from Citizens (350 Marks) 312.52 Citizen Feedback - Household, Web and Mobile App (150 Marks) 132.04 Citizen Feedback – Key Informant Interviews (150 Marks) 130.48 Citizen Feedback – % of Participation (50 Marks) 50.00 3.",Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf","Three states, namely Delhi, Karnataka and Madhya Pradesh where the study was required to be conducted had been already selected by Niti Aayog.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,The situation in this regard is indicated in the table below.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf","Relevant extracts from MP State Government Rules ‘Right of children to Free and compulsory Education Rules, 2011’ extended to the whole of Madhya Pradesh.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,But insisted in returning to the school and came back to the school.,Neutral
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,"Over half (58%) of the participating states provide health education, and just under half (44%) provide physical and nutrition education (Figure 18).",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,Teaches may be provided for different subjects There should be a list of holidays More infrastructure is needed in majority of the schools None of the schools has remedial classes.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,There are no other institutions in the state involved in managing or facilitating the KGBVs.,Neutral
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,"The scheme allows for customization of the weekly menu, with the inclusion of local staples.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,53 Table 4.77 Distribution of girls as per their ranking of the extra class room activities.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,Though class VIII is the terminal grade of the scheme until recently some states have extended the scheme to Class XII and it had been decided by the government to extend up to class 12 in all cases under Samagra Siksha from 2018-19.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf","90 education in terms of knowledge, discipline, good behavior, communication abilities, communal harmony, team spirit etc.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,The financial and physical progresses at the state level are given.,Support
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,"The use of Teaching Learning Materials (TLM), Black Board and Audio-Visual aids for teaching in the class room will enhance the quality of teaching and hence improve the standards of education of the children.",Oppose
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,"Journal of Development Studies, 47(11): 1636-56. Afridi, F., B.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,"However they give holidays on certain occasion such as Bihu, Eid, Durga puja, summer vacation etc.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,All states except Assam have a separate curriculum for the staff training and have conducted training for them during the last three years.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,Whereas the scheme have opportunity to reach such groups or girls only once during the enrolment drive.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",% Yes 7 70 6 60 13 65 No 3 30 4 40 7 35 Total 10 100.0 10 100.0 20 100.0 Development and Research Services Pvt.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",% wrt Col.(7) (1) (2) (3) (4) (5) (6) (7) (8) (9) Rural 9404 1043 11.09 2 0.19 1893 213 11.25 Urban 6347 798 12.57 24 3.01 1979 135 6.82 Total 15751 1841 11.69 26 1.41 3872 348 8.99 4.3.1.1 Current class-wise enrolment A.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,Number of Class rooms The number of class rooms available in each of the selected school was ascertained.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,"This time, I taught her a few words of English.",Neutral
Dialnet-PublicOpinionOnTheNewEducationPolicy2020-8271400.pdf,The implementation process is divided into seven stages.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",% Yes 0 0 0 0 0 0 No 10 100 10 100 20 100 Total 10 100.0 10 100.0 20 100.0 2.5 Retention One of the objectives of the RTE Act is the retention of children for elementary level school education.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",The Act has provided them a scope to study in a good school and receive best education.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,SIS used to release the funds to different components as per requirement of the components.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf","They are better disciplined, respectful, well mannered, improved behavioral change and more knowledgeable.",Support
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,The information in this regard has been collected from the selected schools and consolidated and presented in the table below.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf","They fear that EWS/DG category children have inferior backgrounds, cultural disadvantages, and poor academic contributions to the classroom.",Oppose
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,Phil Total Rajasthan 3 9 0 12 25.0% 75.0% 0.0% 100.0% It has been seen that two third of the teachers interviewed were post graduates and the remaining one third are graduates.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",Table 3.15: Admissions in entry class in sample schools by gender under section 12(1) (c) of RTE Act 2009 (EWS/DG) from 2015 to 2018 in Urban Madhya Pradesh Year Admission taken Left Out (Without TC) Boys Girls TOTAL Boys Girls TOTAL No.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf"," In addition to Public representatives and Anganwadi workers, Gram Panchayats should also be actively engaged in IEC activities to generate awareness about the RTE Act 2009 Act and its provisions.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,The use of Audio visual aid was confirmed by less than 50% of the current students and less 40% ex- students.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf, Evaluation study of KGBV by Programme Evaluation Division of NITI Aayog in 2015.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,146 Receipt of Uniform by girls The girls contacted during the survey were asked whether they receive adequate uniforms or not during the course of their stay in the KGBV.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,For those students special classes are taken as remedial classes giving them proper extra coaching to improve their performance.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",Several schools have not fulfilled the 25% quota particularly in MP and Karnataka.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf",It should also be ensured by school authorities that the admission to EWS/DG category successful candidates shall not be denied on frivolous grounds e.g.,Support
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,The overall positions in these respects can be seen in the tables below.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,Timely disbursal of salary has to be ensured in all cases.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,Nearly one third of the teachers are staying at the same station for more than 5 years.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf","However, the drop- out rate of students admitted under these categories was relatively more in rural area than that in urban area (Rural 2.23%; Urban 0.45%).",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,It has been two third of the teachers interviewed are aware of various facilities / provisions for the girls under the scheme and more than 83% of the teachers are satisfied with the facilities / provisions made under the scheme.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,"In Chhattisgarh, more than 90 percent of the students were satisfied with toilet facilities, More than 80 percent were not satisfied with stationary.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,The state has got separate bank accounts for KGBV funds in all the states.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf","Almost all of them (Total 95%, Rural 100%, Urban 90% schools) had taken necessary steps to facilitate form submission by the parents.",Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf","They had submitted their BPL cars, birth certificate and Aadhaar card, caste and income certificate along with the application form.",Neutral
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,Information on meals provided under ICDS to pre-primary school children or to children in Ashram Shalas is therefore not included in this report.,Neutral
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,Kerala’s example of engaging farmers to procure food locally is an opportunity to share best practices for scale up in other states.,Neutral
State-Survey-of-School-Meal-Programs-in-India-Report-with-Annexes.pdf,"In Tamil Nadu, the scheme is housed in a dedicated department called the Social Welfare and Nutritious Meal Program Department.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,"Raj Kumar Vishwakarma BAC – Amarwara, Chindwara 9926937561 Mrs.",Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,The survey team tried to find out whether such bridge courses have been conducted or not in the selected KGBVs.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,73% were very much satisfied and 28% were just satisfied with the up keep of common areas.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,However more than 80 percent of the current as well as ex-students have said that they have basic working knowledge of the computers.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,Having found whether a doctor is attached to the KGBV or not further it was probed how often the doctor’s visit the KGBV for the health check-up or other issues.,Oppose
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,Few with non-formal education area also admitted.,Neutral
Evaluation of Kasturba Gandhi Balika Vidyalayas (KGBVs) Scheme.pdf,Among the ex-students only about 53 percent were sharing the accommodation.,Neutral
"Sample Survey and Study under Section 12(1) (C) of the RTE Act, 2009.pdf"," Type of information that state governments collected on RTE portal included tuition fee, cost of text books, uniforms, learning material, number of available Development & Research Services Pvt.",Neutral
