app_name,review,rating
Diksha App,its very nice and usefull chapters,5
Diksha App,ऐप बहुत अच्छा है । लेकिन लाँग इन होने में बहुत परेशानी आ रही है ।,5
Diksha App,जब ओपन करता हूं तो नाम आता है लोग आउट करके वापिस लोग इन करे??,1
Diksha App,bahut accha app hai,5
Diksha App,bekar app hai,1
Diksha App,padhai karne ka sabse achha sadhan hai,5
Diksha App,faltu app hain khul hi nahi raha,1
Diksha App,nise,5
Diksha App,Not a single video is starting.,1
Diksha App,worst app I have ever seen kabhi kuchh accha nhi bana skte ye log,1
Diksha App,Best,5
Diksha App,good 😊 exprencence,5
Diksha App,it's very very useful for exam preparation ❤️❤️❤️,5
Diksha App,Good,3
Diksha App,"सबसे खराब ऐप है, कोर्स कहां है और कैसे करें पता ही नहीं चलता है,",1
Diksha App,there's nothing in this app . absolute waste..,1
Diksha App,he open hot nahi,1
Diksha App,just before starting any video two options pop up log out or cancel continue glitches,1
Diksha App,After scanning the QR code stepping into the video class then the video stops between every 10 seconds,4
Diksha App,bahut achha app hai,5
Diksha App,bahut Sundar hai bhai,5
Diksha App,"worst app ,most of the time it doesn't work out. and now it is started to get blank out also",1
Diksha App,Waste of time,1
Diksha App,"worst app ever, it's not allow me to even login",1
Diksha App,Very good 👍,5
Diksha App,this app is waste because I installed two times and it is showing this app isn't linked with this version,1
Diksha App,pooorr and 💩💩💩💩,1
Diksha App,"App will always ask for login when visited and ai feature will work slow sometimes may not work properly , please faster the performance",4
Diksha App,ok,5
Diksha App,this app is best 😇👍🫡🤗😱,5
Diksha App,this app is very important for all the candidates,5
Diksha App,Too good 👍,5
Diksha App,it is not useful for students,1
Diksha App,very nice,5
Diksha App,It is ok but it doesn't have proper answer,3
Diksha App,good,5
Diksha App,aap is the best,5
Diksha App,"Whenever I ask something, this app only tells me"" I don't know "".",1
Diksha App,"good, leave me",1
Diksha App,please resolve 404 error,1
Diksha App,excellent,5
Diksha App,మొడ్డని,1
